,Year,Month,InflationRate,GasPrice,Sales,NetIncome,Assets,Equity,Volume,AdjustedClose
246,2020,7,1.0,2.272,7986.33,-69.0,223060.0,132040.0,181.494812,75.9624
247,2020,8,1.3,2.272,7986.33,-69.0,223060.0,132040.0,173.464939,77.0715
248,2020,9,1.4,2.274,7986.33,-69.0,223060.0,132040.0,256.445094,66.1164
249,2020,10,1.2,2.248,8352.33,-221.67,239790.0,132730.0,251.171694,63.8207
250,2020,11,1.2,2.2,8352.33,-221.67,239790.0,132730.0,241.388094,81.2424
251,2020,12,1.4,2.284,8352.33,-221.67,239790.0,132730.0,224.670987,78.6983
252,2021,1,1.4,2.42,10450.0,459.0,241650.0,132930.0,197.519516,79.3973
253,2021,2,1.7,2.587,10450.0,459.0,241650.0,132930.0,202.359891,94.4801
254,2021,3,2.6,2.898,10450.0,459.0,241650.0,132930.0,304.18134,99.0057
255,2021,4,4.2,2.948,12128.33,1027.33,242810.0,133910.0,175.177045,97.3806
256,2021,5,5.0,3.076,12128.33,1027.33,242810.0,133910.0,209.441367,99.2984
257,2021,6,5.4,3.157,12128.33,1027.33,242810.0,133910.0,223.922486,100.2073
258,2021,7,5.4,3.231,14116.33,2037.0,239950.0,136720.0,205.657426,97.4041
259,2021,8,5.3,3.255,14116.33,2037.0,239950.0,136720.0,213.418815,93.8652
260,2021,9,5.4,3.272,14116.33,2037.0,239950.0,136720.0,250.500704,98.4047
261,2021,10,6.2,3.384,15402.33,1685.0,239540.0,139940.0,211.814421,111.0532
262,2021,11,6.8,3.491,15402.33,1685.0,239540.0,139940.0,224.686287,110.7529
263,2021,12,7.0,3.406,15402.33,1685.0,239540.0,139940.0,221.128758,115.1489
264,2022,1,7.5,3.413,17729.0,2086.33,249050.0,147100.0,300.049707,128.8667
265,2022,2,7.9,3.611,17729.0,2086.33,249050.0,147100.0,282.783725,142.7935
266,2022,3,8.5,4.322,17729.0,2086.33,249050.0,147100.0,526.661468,161.4657
