,adjustedClose,volume,year,month,sales,netIncome,assets,equity,inflation,gas
113,39.5168,279382000.0,2009,6,13271.666666666666,581.6666666666666,161200.0,88480.0,-1.4,2.681
114,41.4375,249912200.0,2009,7,15049.666666666666,1277.0,162560.0,91220.0,-2.1,2.582
115,42.1438,200750700.0,2009,8,15049.666666666666,1277.0,162560.0,91220.0,-1.5,2.67
116,42.4391,195315600.0,2009,9,15049.666666666666,1277.0,162560.0,91220.0,-1.3,2.609
117,46.1208,220554700.0,2009,10,15873.0,1023.3333333333334,164620.0,92560.0,-0.2,2.605
118,47.4314,179018400.0,2009,11,15873.0,1023.3333333333334,164620.0,92560.0,1.8,2.706
119,46.7933,164806800.0,2009,12,15873.0,1023.3333333333334,164620.0,92560.0,2.7,2.663
120,43.8334,207150500.0,2010,1,15578.333333333334,1517.3333333333333,168930.0,96050.0,2.6,2.769
121,44.3636,229392800.0,2010,2,15578.333333333334,1517.3333333333333,168930.0,96050.0,2.1,2.699
122,46.5296,215133500.0,2010,3,15578.333333333334,1517.3333333333333,168930.0,96050.0,2.3,2.824
123,49.9719,207104600.0,2010,4,16968.333333333332,1803.0,171750.0,100290.0,2.2,2.9
124,45.7468,298278800.0,2010,5,16968.333333333332,1803.0,171750.0,100290.0,2.0,2.89
125,42.0249,295860300.0,2010,6,16968.333333333332,1803.0,171750.0,100290.0,1.1,2.785
126,47.1959,233122800.0,2010,7,16204.0,1256.0,177200.0,102970.0,1.2,2.782
127,46.3016,197948600.0,2010,8,16204.0,1256.0,177200.0,102970.0,1.1,2.783
128,50.658,168273400.0,2010,9,16204.0,1256.0,177200.0,102970.0,1.1,2.757
129,51.6267,177635700.0,2010,10,17348.0,1765.0,184770.0,105810.0,1.2,2.853
130,51.0497,213965000.0,2010,11,17348.0,1765.0,184770.0,105810.0,1.1,2.913
131,57.531,157936600.0,2010,12,17348.0,1765.0,184770.0,105810.0,1.5,3.048
132,59.8512,150552000.0,2011,1,19603.666666666668,2070.3333333333335,194740.0,110850.0,1.6,3.148
133,65.8978,181393300.0,2011,2,19603.666666666668,2070.3333333333335,194740.0,110850.0,2.1,3.264
134,68.2733,206698800.0,2011,3,19603.666666666668,2070.3333333333335,194740.0,110850.0,2.7,3.615
135,69.5118,132781700.0,2011,4,22198.666666666668,2577.3333333333335,201720.0,116430.0,3.2,3.852
136,67.1522,170799200.0,2011,5,22198.666666666668,2577.3333333333335,201720.0,116430.0,3.6,3.96
137,65.8272,175644000.0,2011,6,22198.666666666668,2577.3333333333335,201720.0,116430.0,3.6,3.735
138,66.5825,142457300.0,2011,7,20377.0,2609.6666666666665,204100.0,121680.0,3.6,3.705
139,63.772,314157800.0,2011,8,20377.0,2609.6666666666665,204100.0,121680.0,3.8,3.696
140,59.7395,233101200.0,2011,9,20377.0,2609.6666666666665,204100.0,121680.0,3.9,3.667
141,67.7787,207893500.0,2011,10,19492.0,1707.6666666666667,209470.0,122180.0,3.5,3.506
142,66.8717,224716300.0,2011,11,19492.0,1707.6666666666667,209470.0,122180.0,3.4,3.443
143,69.2001,159952000.0,2011,12,19492.0,1707.6666666666667,209470.0,122180.0,3.0,3.326
144,67.0668,157208700.0,2012,1,19671.333333333332,2157.0,214890.0,126330.0,2.9,3.44
145,71.5166,130980800.0,2012,2,19671.333333333332,2157.0,214890.0,126330.0,2.9,3.64
146,70.2648,146979700.0,2012,3,19671.333333333332,2157.0,214890.0,126330.0,2.7,3.907
147,69.8387,119736700.0,2012,4,19849.0,2403.3333333333335,219380.0,131290.0,2.3,3.958
148,65.0111,162164600.0,2012,5,19849.0,2403.3333333333335,219380.0,131290.0,1.7,3.791
149,69.7657,157272500.0,2012,6,19849.0,2403.3333333333335,219380.0,131290.0,1.7,3.596
150,72.4638,134265900.0,2012,7,18622.333333333332,1751.0,226860.0,134220.0,1.4,3.498
151,74.7629,112997400.0,2012,8,18622.333333333332,1751.0,226860.0,134220.0,1.7,3.78
152,77.6958,117894900.0,2012,9,18622.333333333332,1751.0,226860.0,134220.0,2.0,3.91
153,73.4835,129445500.0,2012,10,18737.0,2415.0,232980.0,137830.0,2.2,3.812
154,71.0687,128417700.0,2012,11,18737.0,2415.0,232980.0,137830.0,1.8,3.521
155,72.7162,125418100.0,2012,12,18737.0,2415.0,232980.0,137830.0,1.7,3.381
156,77.4299,119425000.0,2013,1,18123.666666666668,2059.3333333333335,237410.0,141490.0,1.6,3.391
157,79.3884,100812400.0,2013,2,18123.666666666668,2059.3333333333335,237410.0,141490.0,2.0,3.736
158,80.5201,114533700.0,2013,3,18123.666666666668,2059.3333333333335,237410.0,141490.0,1.5,3.779
159,82.6818,132668800.0,2013,4,18398.333333333332,1788.3333333333333,244050.0,144160.0,1.1,3.638
160,83.8595,155415300.0,2013,5,18398.333333333332,1788.3333333333333,244050.0,144160.0,1.4,3.675
161,80.8468,123699600.0,2013,6,18398.333333333332,1788.3333333333333,244050.0,144160.0,1.8,3.689
162,86.0047,104612700.0,2013,7,18896.0,1650.0,247840.0,146070.0,2.0,3.661
163,82.9588,114101300.0,2013,8,18896.0,1650.0,247840.0,146070.0,1.5,3.645
164,83.6959,102704300.0,2013,9,18896.0,1650.0,247840.0,146070.0,1.2,3.604
165,82.635,141320900.0,2013,10,18003.333333333332,1643.3333333333333,253750.0,150430.0,1.0,3.42
166,85.0488,120679900.0,2013,11,18003.333333333332,1643.3333333333333,253750.0,150430.0,1.2,3.322
167,86.7645,116195800.0,2013,12,18003.333333333332,1643.3333333333333,253750.0,150430.0,1.5,3.357
168,77.54,131342300.0,2014,1,16960.333333333332,1504.0,258240.0,151810.0,1.6,3.392
169,80.8252,144016100.0,2014,2,16960.333333333332,1504.0,258240.0,151810.0,1.1,3.434
170,83.3341,131053700.0,2014,3,16960.333333333332,1504.0,258240.0,151810.0,1.5,3.606
171,87.9665,130384400.0,2014,4,18551.333333333332,1888.3333333333333,262050.0,154750.0,2.0,3.735
172,86.797,103880000.0,2014,5,18551.333333333332,1888.3333333333333,262050.0,154750.0,2.1,3.75
173,92.2823,132581600.0,2014,6,18551.333333333332,1888.3333333333333,262050.0,154750.0,2.1,3.766
174,91.3563,101737500.0,2014,7,17245.333333333332,1864.3333333333333,265430.0,157310.0,2.0,3.688
175,92.2812,91316300.0,2014,8,17245.333333333332,1864.3333333333333,265430.0,157310.0,1.7,3.565
176,85.0598,130032026.0,2014,9,17245.333333333332,1864.3333333333333,265430.0,157310.0,1.7,3.484
177,85.5089,197277643.0,2014,10,13890.0,1157.0,266030.0,156190.0,1.7,3.255
178,78.3242,130589383.0,2014,11,13890.0,1157.0,266030.0,156190.0,1.3,2.997
179,80.7055,221178420.0,2014,12,13890.0,1157.0,266030.0,156190.0,0.8,2.632
180,73.763,209626910.0,2015,1,10812.0,855.6666666666666,269600.0,157000.0,-0.1,2.208
181,77.4894,148253494.0,2015,2,10812.0,855.6666666666666,269600.0,157000.0,0.0,2.301
182,76.2546,170274092.0,2015,3,10812.0,855.6666666666666,269600.0,157000.0,-0.1,2.546
183,80.6709,130036658.0,2015,4,12286.666666666666,190.33333333333334,266460.0,155890.0,-0.2,2.555
184,75.5574,132846078.0,2015,5,12286.666666666666,190.33333333333334,266460.0,155890.0,0.0,2.802
185,70.7672,158445200.0,2015,6,12286.666666666666,190.33333333333334,266460.0,155890.0,0.1,2.885
186,64.906,184573105.0,2015,7,10852.0,679.0,268450.0,155940.0,0.2,2.88
187,60.1754,287809359.0,2015,8,10852.0,679.0,268450.0,155940.0,0.2,2.726
188,58.6077,245835918.0,2015,9,10852.0,679.0,268450.0,155940.0,0.0,2.462
189,67.5236,224767956.0,2015,10,9265.333333333334,-196.0,266100.0,153890.0,0.2,2.387
190,68.6444,176674452.0,2015,11,9265.333333333334,-196.0,266100.0,153890.0,0.5,2.26
191,67.6221,261406906.0,2015,12,9265.333333333334,-196.0,266100.0,153890.0,0.7,2.144
192,64.9987,280058954.0,2016,1,7698.666666666667,-241.66666666666666,263840.0,151480.0,1.4,2.057
193,63.5124,234873015.0,2016,2,7698.666666666667,-241.66666666666666,263840.0,151480.0,1.0,1.872
194,72.6161,214557021.0,2016,3,7698.666666666667,-241.66666666666666,263840.0,151480.0,0.9,2.071
195,77.7768,155658608.0,2016,4,9329.666666666666,-490.0,261480.00000000003,148330.0,1.1,2.216
196,77.6951,130867170.0,2016,5,9329.666666666666,-490.0,261480.00000000003,148330.0,1.0,2.371
197,80.6414,152197385.0,2016,6,9329.666666666666,-490.0,261480.00000000003,148330.0,1.0,2.467
198,78.8336,134604245.0,2016,7,9727.333333333334,427.6666666666667,259860.0,147950.0,0.8,2.345
199,78.182,132666424.0,2016,8,9727.333333333334,427.6666666666667,259860.0,147950.0,1.1,2.284
200,80.0009,151300019.0,2016,9,9727.333333333334,427.6666666666667,259860.0,147950.0,1.5,2.327
201,81.4233,138652422.0,2016,10,10072.333333333334,138.33333333333334,260079.99999999997,146720.0,1.6,2.359
202,87.5812,169972797.0,2016,11,10072.333333333334,138.33333333333334,260079.99999999997,146720.0,1.7,2.295
203,92.4015,134375578.0,2016,12,10072.333333333334,138.33333333333334,260079.99999999997,146720.0,2.1,2.366
204,87.4163,123803163.0,2017,1,10454.0,894.0,259110.0,147790.0,2.5,2.458
205,89.1669,123277877.0,2017,2,10454.0,894.0,259110.0,147790.0,2.7,2.416
206,85.1009,164740615.0,2017,3,10454.0,894.0,259110.0,147790.0,2.4,2.437
207,84.5698,100644757.0,2017,4,10920.333333333334,483.3333333333333,254600.0,147390.0,2.2,2.528
208,82.8637,116986634.0,2017,5,10920.333333333334,483.3333333333333,254600.0,147390.0,1.9,2.503
209,83.5443,125302168.0,2017,6,10920.333333333334,483.3333333333333,254600.0,147390.0,1.6,2.46
210,87.4361,104076587.0,2017,7,11362.666666666666,650.6666666666666,255160.0,147910.0,1.7,2.414
